title,url,source,pub_date,snippet,query
"Overland Park revises Aspiria plan to avoid hotel, restaurant delays after Royals uncertainty",https://www.bizjournals.com/kansascity/news/2026/07/08/aspiria-campus-overland-park-master-plan-119-nall.html,Kansas City Business Journal,19 hours ago,"Rather, they make sure apparent city permitting oversights and delays related to the Kansas City Royals won't indefinitely bar a coming hotel and popular restaurants from opening next year.

The City Council on Monday approved a revised preliminary plan for the former Sprint campus to continue being remade as a ""live-work-play"" environment under Wichita owner Occidental Management Inc. …",restaurant opening
"Louis Vuitton opens new Miami Design District store, bakery makes Hallandale debut and mahjong concept joins Wellington mall (Photos)",https://www.bizjournals.com/southflorida/news/2026/07/08/louis-vuitton-new-miami-design-district-store.html,South Florida Business Journal,23 hours ago,"Royale Pizza Napoletana

Royale Pizza Napoletana plans to open in fall 2026 on Miami Beach at 1680 Meridian Ave. The 65-seat restaurant is owned by banking entrepreneur and restaurateur Jess Varughese and will feature Tokyo-style Neapolitan pizza developed in partnership with Japanese pizzaiolo Chef Bun of Tokyo's Savoy restaurant . …",restaurant opening
St. Louis-based tire and automotive chain expands Ohio footprint with acquisition,https://www.bizjournals.com/stlouis/news/2026/07/08/dobbs-tire-expands-ohio-acquisition.html,St. Louis Business Journal,4 hours ago,"Basile, who became CEO in April as part of a planned leadership transition, joined Dobbs in early 2024 as chief financial officer and was promoted in 2025 to also serve as chief operating officer. During his tenure in those roles, Dobbs increased its store count from 43 locations to more than 150 locations across eight states, according to the company. Revenue more than doubled during the prior two years, driven by same- store sales growth, store rebuilds, new locations and seven acquisitions.

…",store opening
"Report: Tecovas stores to open within Cabela's, Bass Pro Shops in US",https://www.bizjournals.com/austin/news/2026/07/08/tecovas-cabelas-bass-pro-shops.html,Austin Business Journal,7 hours ago,"In 2024, it announced that it's partnering with retailers including National Roper Supply, Texas Boot Company, Howell Western Wear and Junk Gypsy to bring the Tecovas store feel to new markets without the notable cost of opening a standalone store , Tecovas CEO David Lafitte told the ABJ in 2024. 

The Western wear company has also been ramping up its AI strategy to support rapid growth. …",store opening
Nuna & Tavo open first retail location at Bridgeport Village,https://www.bizjournals.com/portland/news/2026/07/08/nuna-tavo-bridgeport-village.html,Portland Business Journal,8 hours ago,"Nuna has had sponsorship deals with Portland sports teams including the Thorns and Trail Blazers.



The company’s new store is 1,214 square feet at 7241 S.W. Bridgeport Road in Tigard. The company signed a multi-year lease.

“ Opening at Bridgeport Village feels like coming full circle for us. …",store opening
"Local architect debuts fashion house, leaning on Greek heritage and Nashville roots",https://www.bizjournals.com/nashville/news/2026/07/08/leo-vas-nashville-fashion-designer-chestnut-hill.html,Nashville Business Journal,9 hours ago,"A local architect and designer is opening Nashville’s newest fashion house in early August.

Alexandros Darsinos, the founder of Studio YUDA, will open the flagship store of Leo Vas in Chestnut Hill, reflecting both his Greek heritage and his Nashville roots. 

…",store opening
Fast-growing fire safety firm Pye-Barker buys Maryland company,https://www.bizjournals.com/atlanta/news/2026/07/08/pye-barker-acquires-responsetech.html,Atlanta Business Chronicle,10 hours ago,"John Pye and Ben Barker, two graduates of Georgia Tech, founded the company in 1946 with the opening of Pye-Barker Supply Co., their flagship store that sold equipment like fire extinguishers and first-aid kits. Since its founding, the company expanded into new products and services and went on to make numerous acquisitions, especially in the 1990s – a growth strategy it maintains today. …",store opening
Jeff's Donuts opens its first Central Ohio shop near Gahanna,https://www.bizjournals.com/columbus/news/2026/07/08/jeffs-donuts-opens-its-first-columbus-shop.html,Columbus Business First,12 hours ago,"The southern Indiana-founded chain on Wednesday celebrated the grand opening of its first Central Ohio shop. It's also the first in the state. 

The store is at 5717 N. Hamilton Road near Gahanna and the Hamilton Quarter development.

…",store opening
Japanese lifestyle chain opens largest North American store in Jacksonville,https://www.bizjournals.com/jacksonville/news/2026/07/08/teso-life-jax.html,Jacksonville Business Journal,13 hours ago,"The store caters to local Eastern populations and American shoppers that several retailers have targeted in recent years. 

The department store will open in the same Regency Court shopping center as Lotte Market, a Korean grocery and department store that opened in September 2025. …",store opening
Colectivo Coffee Roasters continues expansion across Chicago metro,https://www.bizjournals.com/chicago/news/2026/07/08/grand-opening-for-colectivo-coffee-roasters.html,Chicago Business Journal,13 hours ago,"On July 8, the Milwaukee-based company will open a 2,200-square-foot store at 3258 N. Southport Ave. in Lakeview with 20 employees. The new cafe can accommodate 40 customers including 26 outdoor seats.

By the fall, Colectivo plans to also open a 1,600-square-foot café at 2032 W. …",store opening
Chase Koch's Movement Musick plans to add grocery store to downtown,https://www.bizjournals.com/wichita/news/2026/07/08/chase-koch-grocery-store-downtown-movement-musick.html,Wichita Business Journal,13 hours ago,"Price Chopper is a regional store with locations in Kansas in Missouri and is operated by four family businesses in the Kansas City area. 

Movement Musick said it plans to lead the capital investment for construction of the store and has structured the partnership with the Queen family to support the store 's operations through its initial growth period to support the long-term success of the store . 

…",store opening
Buckhead retail staple Lucy’s Market to expand into larger space,https://www.bizjournals.com/atlanta/news/2026/07/08/lucys-market-buckhead-relocation.html,Atlanta Business Chronicle,19 hours ago,"Lucy’s, which is named for Wilson’s grandmother and 33-year-old daughter, both named Lucille, will host a sale beginning the week of August 24, “mainly of home goods,"" before a brief closure and then a soft opening of the new location October 3. A grand opening will follow a week later.

Wilson lights up when she talks about the plans for Lucy’s Market during the holidays, which include a gondola going through the store and a Ferris wheel for on top of the produce. 

…",store opening
