store_name,location,event_type,event_date,status,short_description,article_link,published_date,Date_Appended
BODYBAR Pilates,"9573 Harmon Road, Ste. 101, Fort Worth",Opening,Sept. 8,Opened,"BODYBAR Pilates opened on Sept. 8 at 9573 Harmon Road, Ste. 101, Fort Worth. The studio offers Pilates classes that focus on exercises building strength and stamina. Franchise owner Shay Werkheiser, a former customer, owns the 100th studio.",https://communityimpact.com/keller-roanoke-northeast-fort-worth/business/pilates-asian-cuisine-check-out-14-keller-roanoke-northeast-fort-worth-business-updates/,"September 11, 2026 at 10:23 a.m. CT",2026-09-14
No qualifying business found,,,,,The article discusses Harvest House adding a seasonal farmers market but does not report a new store opening or closure.,https://communityimpact.com/denton/business/harvest-house-to-add-farmers-market-to-rotating-events-this-fall/,"September 11, 2026 at 10:15 a.m. CT",2026-09-14
No qualifying business found,,,,,"The article lists nine projects filed in Sugar Land, many of which are renovations or future constructions, but no specific openings or closures are confirmed.",https://communityimpact.com/sugar-land-missouri-city/business/japanese-eatery-gym-among-9-projects-filed-in-sugar-land/,"September 11, 2026 at 5:15 p.m. CT",2026-09-14
ALEOLI Me Time Studio,"23402 Kingsland Blvd., Ste. 500, Katy",Opening,June 2025,Opened,"ALEOLI Me Time Studio opened in June 2025 at 23402 Kingsland Blvd., Ste. 500, Katy. The studio offers Pilates and yoga classes, a daycare, and an on‑site coffee shop for moms. It was founded by Margarita Castellanos and Javier.",https://communityimpact.com/katy-fulshear/business/aleoli-me-time-studio-offers-services-for-moms/,"September 11, 2026 at 4:29 p.m. CT",2026-09-14
Aesthetica MD Med Spa,"777 S. Fry Road, Ste. 102, Katy",Opening,Aug. 27,Opened,"Aesthetica MD Med Spa opened on Aug. 27 at 777 S. Fry Road, Ste. 102, Katy. The medical spa provides anti‑aging treatments, injectables, body contouring, laser services, and skin‑tightening procedures. It confirmed its opening to the public.",https://communityimpact.com/katy-fulshear/business/aesthetica-md-med-spa-opens-in-katy/,"September 11, 2026 at 4:20 p.m. CT",2026-09-14
Verizon retail store,"20115 Bridgeland Creek Parkway, Ste. 102, Cypress",Opening,winter 2026-27,coming soon,"Verizon plans to open a retail store in the Village Green at Bridgeland Central in Cypress. The 1,565‑square‑foot space is slated for winter 2026‑27. Howard Hughes Communities confirmed the lease.",https://communityimpact.com/cypress/business/verizon-retail-store-coming-soon-to-village-green-at-bridgeland-central/,"Published September 11, 2026 at 4:00 p.m. CT",2026-09-14
Seamless Laundry Co.,Houston,Opening,late August,launched,Seamless Laundry Co. launched its mobile laundry pickup and delivery service in late August for Houston’s inner loop neighborhoods. The service offers same‑day and 24‑hour wash‑dry‑fold options without a physical storefront. Customers can schedule pickups via the company’s website.,https://communityimpact.com/bellaire-meyerland-west-university/business/seamless-laundry-co-handles-laundry-day-with-pickup-delivery-service-in-greater-houston/,"Published September 11, 2026 at 3:19 p.m. CT",2026-09-14
Lenox Clear Creek (apartment complex),"16200 State Highway 3, Webster",Opening,Sept. 8,opened,Lenox Clear Creek opened a new apartment complex in Webster at the beginning of September. The development offers one‑ and two‑bedroom units with amenities such as a resort‑style pool and 24‑hour fitness center. The complex opened on Sept. 8 at 16200 State Highway 3.,https://communityimpact.com/bay-area/business/new-apartment-complex-opens-in-webster/,"Published September 11, 2026 at 2:52 p.m. CT",2026-09-14
Feliz Modern,San Antonio,Opening,Not specified,now open,Feliz Modern opened a location inside the San Antonio International Airport. The article announces the new presence but provides no further details. The opening is described as now open.,https://communityimpact.com/san-antonio/business/feliz-modern-now-open-in-the-san-antonio-international-airport/,"June 22, 2026",2026-09-14
James Avery Artisan Jewelry,San Antonio,Opening,Not specified,now open,"James Avery Artisan Jewelry opened a store in Schertz Station, San Antonio. The announcement notes the store is now open but gives no additional information. No address or opening date is provided.",https://communityimpact.com/san-antonio/business/james-avery-artisan-jewelry-now-open-in-schertz-station/,"June 19, 2026",2026-09-14
Arnold & Mane hair salon,San Antonio,Opening,Not specified,now open,"Arnold & Mane hair salon is now open in New Braunfels, as reported by Community Impact.",https://communityimpact.com/san-antonio/austin/arnold-mane-hair-salon-now-open-in-new-braunfels/,"April 30, 2026",2026-09-14
No qualifying business found,,,,,,https://communityimpact.com/san-antonio/business/roundup-3-updates-from-san-antonio-businesses-in-march/,"April 8, 2026",2026-09-14
No qualifying business found,,,,,,https://communityimpact.com/san-antonio/business/curator-coffee-celebrates-5-years-serving-north-san-antonio/,"April 8, 2026",2026-09-14
New family‑owned pizza shop,San Antonio,Opening,Not specified,opens,"A new family‑owned pizza shop has opened in North San Antonio, according to Community Impact.",https://communityimpact.com/san-antonio/business/new-family-owned-pizza-shop-opens-in-north-san-antonio/,"April 7, 2026",2026-09-14
Liberty Hearing Center,Bryan - College Station,Opening,Not specified,grand opening,"Liberty Hearing Center celebrated its grand opening in College Station, as highlighted by Community Impact.",https://communityimpact.com/bryan-college-station/business/liberty-hearing-center-celebrates-grand-opening-in-college-station/,5d ago,2026-09-14
College Station Dave & Buster's,Bryan - College Station,Opening,Not specified,announces fall opening date,"Dave & Buster's announced a fall opening date for its College Station location. The announcement was published on September 1, 2026.",https://communityimpact.com/bryan-college-station/business/college-station-dave-busters-announces-fall-opening-date/,"September 1, 2026",2026-09-14
Southern Charm Boutique,Bryan - College Station,Opening,Not specified,to host new 'southern charm’ boutique,"A new boutique dubbed “southern charm” will be hosted in the College Station mall. The news was reported on August 31, 2026.",https://communityimpact.com/bryan-college-station/business/college-station-mall-to-host-new-southern-charm-boutique/,"August 31, 2026",2026-09-14
College Station nail salon,Bryan - College Station,Opening,Not specified,reopens under new management,"A nail salon in College Station has reopened under new management. The reopening was reported on August 24, 2026.",https://communityimpact.com/bryan-college-station/business/college-station-nail-salon-reopens-under-new-management/,"August 24, 2026",2026-09-14
Lucky Goat Coffee,Bryan - College Station,Opening,Not specified,opens with large community turnout,"Lucky Goat Coffee opened in Bryan with a large community turnout. The opening was covered on August 20, 2026.",https://communityimpact.com/bryan-college-station/business/bryan-lucky-goat-coffee-opens-with-large-community-turnout/,"August 20, 2026",2026-09-14
No qualifying business found,,,,,The article discusses an expansion of a downtown Bryan bar but does not detail a new opening or closure.,https://communityimpact.com/bryan-college-station/business/downtown-bryan-bar-expands-with-new-bar-stage-area/,"August 18, 2026",2026-09-14
