store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
Jersey Mike's,"3100 N Terminal Rd, Houston, TX 77032",Opening,Not specified,Part of $2.5 Billon Terminal B Expansion,Jersey Mike's is part of the Terminal B expansion at IAH. The location is 3100 N Terminal Rd.,https://whatnow.com/houston/restaurants/jersey-mikes-part-of-2-5-billon-terminal-b-expansion/,"May 14, 2026",batch_2_output,2026-05-15
Protein Bar and Kitchen,"3100 N Terminal Rd, Houston, TX 77032",Opening,Not specified,to Debut at IAH,Protein Bar and Kitchen is to debut at IAH at 3100 N Terminal Rd.,https://whatnow.com/houston/restaurants/protein-bar-and-kitchen-to-debut-at-iah/,"May 14, 2026",batch_2_output,2026-05-15
Snappy Burger,"W Cheyenne Ave & Allen Ln, North Las Vegas, NV 89032",Opening,Not specified,to Open Another Location in the Valley,Snappy Burger is to open another location in the Valley at W Cheyenne Ave & Allen Ln.,https://whatnow.com/las-vegas/restaurants/snappy-burger-to-open-another-location-in-the-valley/,"May 14, 2026",batch_2_output,2026-05-15
Katz Coffee,"3100 N Terminal Rd, Houston, TX 77032",Opening,Not specified,One of Four New Tenants to Open at the IAH,Katz Coffee is one of four new tenants to open at IAH at 3100 N Terminal Rd.,https://whatnow.com/houston/restaurants/katz-coffee-one-of-four-new-tenants-to-open-at-the-iah/,"May 13, 2026",batch_2_output,2026-05-15
La Gita Kitchen and Focacceria,"County Line Shopping Center, 4619 Lakeview Canyon Rd, Westlake Village, CA 91361",Opening,Not specified,Planned For Westlake Village,"La Gita Kitchen and Focacceria is planned for Westlake Village at County Line Shopping Center, 4619 Lakeview Canyon Rd.",https://whatnow.com/los-angeles/restaurants/la-gita-kitchen-and-focacceria-planned-for-westlake-village/,"May 13, 2026",batch_2_output,2026-05-15
Dough In The Box Donuts,"237 Mitchell St SW, Atlanta, GA 30303",Opening,Not specified,Adding Fourth Location,Dough In The Box Donuts is adding a fourth location at 237 Mitchell St SW.,https://whatnow.com/atlanta/restaurants/dough-in-the-box-donuts-adding-fourth-location/,"May 13, 2026",batch_2_output,2026-05-15
Mendocino Farms,Address not specified,Opening,Not specified,to Open New Phoenix Location This Summer,Mendocino Farms is to open its first Phoenix location this summer.,https://whatnow.com/phoenix/restaurants/mendocino-farms-to-open-first-phoenix-location-this-summer/,"May 13, 2026",batch_2_output,2026-05-15
Leuty’s on Queen,"1963 Queen St E, Toronto, ON M4L 1H8, Canada",Opening,Not specified,Preparing to Open in Toronto’s Beaches Neighborhood,Leuty’s on Queen is preparing to open in Toronto’s Beaches neighborhood at 1963 Queen St E.,https://whatnow.com/toronto/restaurants/leutys-on-queen-preparing-to-open-in-torontos-beaches-neighborhood/,"May 13, 2026",batch_2_output,2026-05-15
Deluxe Bar,"3606 14th St NW, Washington, DC 20010",Opening,Not specified,Headed to Columbia Heights,Deluxe Bar is headed to Columbia Heights at 3606 14th St NW.,https://whatnow.com/washington-dc/restaurants/deluxe-bar-headed-to-columbia-heights/,"May 13, 2026",batch_2_output,2026-05-15
Dunkin’,Address not specified,Opening,Not specified,Planning Major Return to Canada Through New Foodtastic Deal,Dunkin’ is planning a major return to Canada through a new Foodtastic deal.,https://whatnow.com/toronto/restaurants/dunkin-planning-major-return-to-canada-through-new-foodtastic-deal/,"May 13, 2026",batch_2_output,2026-05-15
Tortillas Chiwas,"914 N Grande Ave, Tucson, AZ 85745",Opening,Not specified,Owners Plan Expansion Beyond Phoenix With New Concept,Tortillas Chiwas owners plan expansion beyond Phoenix with a new concept at 914 N Grande Ave.,https://whatnow.com/phoenix/restaurants/tortillas-chiwas-owners-plan-expansion-beyond-phoenix-with-new-concept/,"May 13, 2026",batch_2_output,2026-05-15
Lucky Village Chinese Buffet,"10755 Westheimer Rd, Houston, TX 77042",Remodel,mid-July,"Undergoes $200,000 Renovations","Lucky Village Chinese Buffet undergoes $200,000 renovations at 10755 Westheimer Rd.",https://whatnow.com/houston/restaurants/lucky-village-chinese-buffet-undergoes-200000-renovations/,"May 13, 2026",batch_2_output,2026-05-15
Kueva,"6250 McLeod Dr, Las Vegas, NV 89120",Opening,Not specified,"to Bring an ""Exclusive, Modern Dining Experience"" to the Valley",Kueva is to bring an exclusive modern dining experience to the Valley at 6250 McLeod Dr.,https://whatnow.com/las-vegas/restaurants/kueva-to-bring-an-exclusive-modern-dining-experience-to-the-valley/,"May 13, 2026",batch_2_output,2026-05-15
Encanto Coffee,"869 W Jeffery St, Kankakee, IL 60901",Opening,Not specified,Kankakee Local Building ‘Encanto’ Coffee Shop to Serve Mexican Pastries,Encanto Coffee shop is being built at 869 W Jeffery St to serve Mexican pastries.,https://whatnow.com/chicago/restaurants/kankakee-local-building-encanto-coffee-shop-to-serve-mexican-pastries/,"May 13, 2026",batch_2_output,2026-05-15
Little Alley Steakhouse,"Truist Center, 214 N Tryon St, Charlotte, NC 28202, USA",Opening,Not specified,Revives Uptown Charlotte Plans With $3.7M Permit Filing,"Little Alley Steakhouse revives Uptown Charlotte plans with a $3.7M permit filing at Truist Center, 214 N Tryon St.",https://whatnow.com/charlotte/restaurants/little-alley-steakhouse-revives-uptown-charlotte-plans-with-3-7m-permit-filing/,"May 13, 2026",batch_2_output,2026-05-15
Himari,"6414 San Felipe St a, Houston, TX 77057",Opening,Not specified,to Open a Second Location in Former Bank of America in Uptown,Himari is to open a second location in a former Bank of America in Uptown at 6414 San Felipe St a.,https://whatnow.com/houston/restaurants/himari-to-open-a-second-location-in-former-bank-of-america-in-uptown/,"May 13, 2026",batch_2_output,2026-05-15
Steel City Brewing,"132 Lincoln Hwy. E, Coatesville, PA 19320",Opening,Not specified,will open at 132 E. Lincoln Hwy. this spring,"Steel City Brewing owned by Philip Ferro will open at 132 E. Lincoln Hwy. in Coatesville this spring. The renovated two-level space features a main dining area upstairs, events downstairs, and a 100 foot long bar. The beer list includes Lukens Lite, Steel Wheels, C-Ville Cerveza and others with proceeds from Lukens Lager donated to the Steel Museum.",https://whatnow.com/philadelphia/restaurants/steel-city-brewing-to-open-in-coatesville-this-spring-under-restaurateur-philip-ferro/,"May 11, 2026",batch_3_output,2026-05-15
Texas de Brazil,"250 Lehigh Valley Mall, Whitehall Township, PA 18052",Opening,Not specified,expected to debut in spring 2027,"Texas de Brazil will open on the first floor of Lehigh Valley Mall in Whitehall. The Brazilian steakhouse offers prix fixe churrasco with unlimited grilled meats, salad bar, cheese bread, mashed potatoes and fried bananas. It will be the second Pennsylvania location.",https://whatnow.com/philadelphia/restaurants/texas-de-brazil-to-open-at-lehigh-valley-mall-in-whitehall/,"May 11, 2026",batch_3_output,2026-05-15
Langbaan,"215 SE 9th Ave, Portland, OR 97214",Opening,Not specified,hoping to debut the new location by this October,"Langbaan will occupy the former Bar Casa Vale space at 215 SE 9th Avenue in Southeast Portland. The Thai restaurant serves staples like Miang Som, Guay Tiew Rua and Phla Pla with wine pairings and seasonal menus. Owner Earl Ninsom previously operated the concept in Northwest Portland.",https://whatnow.com/portland/restaurants/thai-staple-langbaan-moving-southeast-for-next-portland-location/,"May 11, 2026",batch_3_output,2026-05-15
Solei Beach Club,"1717 Collins Ave, Miami Beach, FL 33139, United States",Opening,Not specified,will officially open on Saturday,"Solei Beach Club at the Kimpton Surfcomber Hotel will open on Saturday offering Mediterranean-inspired dining, cocktails and oceanfront access with lounge seating and cabanas. The 11,500 square foot venue operates daily 11 a.m. to 5 p.m. with bar until 6 p.m. and serves shareable seafood dishes.",https://whatnow.com/miami/restaurants/new-11500-square-foot-beach-club-set-to-debut-in-miami-beachs-art-deco-district/,"May 11, 2026",batch_3_output,2026-05-15
Bratz Y’all Bistro,"617-B Piety, New Orleans, LA 70117",Closing,June 1,will serve its final meal June 1,"Bratz Y’all Bistro will close on June 1 after nine years due to rising costs, rent increase and landlord issues. The German-style bistro in Bywater serves pretzels, German street food, beers and wine.",https://whatnow.com/new-orleans/restaurants/new-orleans-restaurant-known-for-german-inspired-menu-to-close-on-june-1/,"May 11, 2026",batch_3_output,2026-05-15
7 Brew,"2102 N Jackson St, Tullahoma, TN 37388, USA",Opening,Not specified,now under construction; targeting a late-summer opening,"7 Brew is under construction at 2102 North Jackson Street in Tullahoma targeting late-summer opening. The drive-thru offers customizable coffees, teas, lemonades, smoothies, shakes and energy drinks.",https://whatnow.com/nashville/restaurants/new-7-brew-location-planned-for-tullahoma/,"May 11, 2026",batch_3_output,2026-05-15
Wasai BBQ,"2237 S Wentworth Ave, Chicago, IL 60616",Opening,Not specified,hoping to open the concept at the beginning of June,"Wasai BBQ, an all-you-can-eat Korean barbecue concept, is coming to 2237 S Wentworth Avenue on the second floor of the former Won Kow space in Chinatown. The menu features raw meats, bulgogi and pickles with beer and Korean sake.",https://whatnow.com/chicago/restaurants/new-wasai-bbq-concept-to-serve-korean-barbecue-in-chinatown/,"May 11, 2026",batch_3_output,2026-05-15
Victory Bar & Grill,"795 NJ-73 West Berlin, NJ 08091",Remodel,Not specified,under new ownership with a planned refresh,"Victory Bar & Grill at 795 S. Route 73 is now under new ownership by Amar and Sunitha Gunda. They plan to refresh the menu, update TVs, add fire pits and introduce live music while keeping the name and vibe. The new bar menu launches June 1.",https://whatnow.com/philadelphia/restaurants/victory-bar-grill-under-new-ownership-with-a-planned-refresh/,"May 11, 2026",batch_3_output,2026-05-15
Anthony’s Restaurant and Pub,"3151 Voyager Ln, Joliet, IL 60431",Closing,"May 9, 2026","has closed; served its final dinner on Saturday, May 9","Anthony’s Restaurant and Pub in Louis Joliet Mall served its final dinner on May 9, 2026 after 12 years. The closure followed a fatal shooting incident in the parking lot.",https://whatnow.com/chicago/restaurants/popular-joliet-mall-restaurant-shuts-down-following-tragic-incident/,"May 11, 2026",batch_3_output,2026-05-15
MaGerk’s Pub & Grill,"3 W Gay St. West Chester, PA 19380",Opening,Not specified,set to open at 3 W. Gay St.; likely still months away,"MaGerk’s Pub & Grill is set to open at 3 W. Gay St. in the former Iron Hill Brewery space in West Chester. The pub offers shareable plates, smash burgers, Philly cheesesteaks and craft beers.",https://whatnow.com/philadelphia/restaurants/magerks-pub-grill-expands-greater-philadelphia-footprint-with-west-chester-location/,"May 11, 2026",batch_3_output,2026-05-15
Crumbl,Address not specified,Opening,Not specified,expected to open in late summer,Crumbl operated by KTP Capital will open in Edgewood in late summer offering rotating cookies and dirty sodas.,https://whatnow.com/atlanta/restaurants/crumbl-and-4-more-atlanta-restaurant-openings-we-uncovered-last-week-may-4-8/,"May 11, 2026",batch_3_output,2026-05-15
Giulia Italian Bakery,Address not specified,Opening,Not specified,will open in Alpharetta City Center this summer,"Giulia Italian Bakery’s fourth location will open in Alpharetta City Center this summer with croissants, sandwiches, Italian wine and coffee.",https://whatnow.com/atlanta/restaurants/crumbl-and-4-more-atlanta-restaurant-openings-we-uncovered-last-week-may-4-8/,"May 11, 2026",batch_3_output,2026-05-15
VIỆTVANA,Address not specified,Opening,Not specified,expected to open in October,VIỆTVANA will open a new flagship at Lenox Square in Buckhead in October in the former Lobster Roll space.,https://whatnow.com/atlanta/restaurants/crumbl-and-4-more-atlanta-restaurant-openings-we-uncovered-last-week-may-4-8/,"May 11, 2026",batch_3_output,2026-05-15
NADC Burger,"124 S 6th St, Las Vegas, NV 89101",Opening,"May 15, 2026","will officially open ... on May 15, 2026","NADC Burger will open its first permanent Las Vegas location on May 15, 2026 at 124 S 6th St in Downtown. The skate-inspired spot serves Wagyu cheeseburgers, beef tallow fries and offers a full bar.",https://whatnow.com/las-vegas/restaurants/a-viral-burger-brand-is-expanding-with-its-first-permanent-las-vegas-restaurant/,"May 11, 2026",batch_3_output,2026-05-15
Phin de Louisiane,"3204 E Milton Ave, Youngsville, LA 70592",Opening,Not specified,under construction and slated to open this fall,Phin de Louisiane in Youngsville will specialize in Vietnamese phin coffee drinks including Cà phê sữa đá and Saigon Ube Latte. The cafe grew from pop-ups and is currently under construction.,https://whatnow.com/new-orleans/restaurants/vietnamese-influenced-cafe-coming-to-lafayette-parish/,"May 11, 2026",batch_3_output,2026-05-15
RedHead Burger,"3377 Las Vegas Blvd S #2170, Las Vegas, NV 89109, United States",Opening,Not specified,"has opened its doors ... on May 7, 2026","RedHead Burger opened its first Las Vegas location at Grand Canal Shoppes at The Venetian on May 7, 2026. The smash burger spot operates 11 a.m. to 2 a.m. with never-frozen burgers, loaded fries and milkshakes.",https://whatnow.com/las-vegas/restaurants/ocean-drive-smash-burger-hotspot-opened-its-first-las-vegas-location/,"May 11, 2026",batch_3_output,2026-05-15
Zaxbys,Address not specified,Opening,Not specified,set to open late this year,"Zaxbys has broken ground on a new location in Perryville, Maryland at Chesapeake Overlook set to open late this year with seating for 30 and dual drive-thru.",https://whatnow.com/washington-dc/restaurants/zaxbys-begins-work-on-new-maryland-location/,"May 10, 2026",batch_3_output,2026-05-15
Wonder,"20936 Frederick Rd, Germantown, MD 20876",Opening,Not specified,moving into a Germantown storefront,Wonder food hall is moving into 20936 Frederick Road in Germantown in the former Jos. A. Bank space. The concept partners with chefs for multiple made-to-order options.,https://whatnow.com/washington-dc/restaurants/food-hall-juggernaut-continues-dmv-expansion/,"May 10, 2026",batch_3_output,2026-05-15
Qdoba,"2625 North International Parkway, Dallas, TX 75261",Opening,Not specified,work set to start this summer,Qdoba is planned for a new Terminal A location at 2625 North International Parkway at DFW Airport with construction beginning by June 22 and projected completion by November 30.,https://whatnow.com/dallas/restaurants/qdoba-to-feed-dfw-flyers/,"May 10, 2026",batch_3_output,2026-05-15
Buc-ee’s,Address not specified,Opening,June of 2028,will not make its regional entrance for another 2 years,"Buc-ee’s will open on a 34-acre lot in West Memphis in June 2028 spanning 74,000 square feet with 120 gas pumps. Infrastructure work is underway for the arrival.",https://whatnow.com/memphis/restaurants/west-memphis-prepares-to-greet-texas-favorite/,"May 10, 2026",batch_3_output,2026-05-15
A Forkful Restaurant and Catering,"2650 Thousand Oaks Blvd, Memphis, TN 38118",Opening,Not specified,small restaurant opening in an existing restaurant space,"A Forkful Restaurant and Catering from the A Forkful Food Truck team will open at 2650 Thousand Oaks Boulevard in a 1,622 square foot space.",https://whatnow.com/memphis/restaurants/a-forkful-restaurant-and-catering-making-memphis-plans/,"May 10, 2026",batch_3_output,2026-05-15
McAlister’s Deli,"2024 Fair Park Blvd., Jonesboro, AR 72401",Opening,Not specified,preparing to return to the area,McAlister’s Deli is planned for 2024 Fair Park Boulevard in Jonesboro following the previous location closure.,https://whatnow.com/memphis/restaurants/mcalisters-deli-headed-to-jonesboro/,"May 10, 2026",batch_3_output,2026-05-15
